h3_index,center_lat,center_lon,elevation_m,dist_to_hospital_m,elevation_risk,distance_risk,vulnerability_score,risk_category
873f5ba70ffffff,31.15472667560006,29.879702942908086,-3.0,247.00053555818505,0.972972972972973,0.01621105912839854,49.45920160506858,Medium
873f5ba71ffffff,31.152358995029886,29.907414093163098,-4.0,1263.587804966707,1.0,0.08293138544800135,54.14656927240007,Medium
873f5ba72ffffff,31.13528903435664,29.86359014375175,-4.0,2372.801070613498,1.0,0.15573091114444795,57.786545557222404,Medium
873f5ba73ffffff,31.13292551665505,29.89129785595774,-2.0,2889.4479344180013,0.9459459459459459,0.18963931073034082,56.779262833814336,Medium
873f5ba74ffffff,31.17652677996802,29.86810270252665,0.0,0.0,0.8918918918918919,0.0,44.5945945945946,Medium
873f5ba75ffffff,31.174160672681953,29.895820994081625,5.0,0.0,0.7567567567567568,0.0,37.83783783783784,Medium
873f5ba76ffffff,31.157088619180115,29.85198809439031,4.0,874.3014294681609,0.7837837837837838,0.05738186816932207,42.05828259765529,Medium
873f5bae0ffffff,31.055155292240627,29.826885390817164,27.0,7535.25235978007,0.16216216216216206,0.49455124166329534,32.83567019127287,Medium
873f5bae1ffffff,31.052802669548676,29.854575647229215,-2.0,9142.070802613522,0.9459459459459459,0.6000094291385135,77.29776875422297,High
873f5bae4ffffff,31.07695432941914,29.81528325817663,-3.0,4874.805166853273,0.972972972972973,0.31994163340858545,64.64573031907793,High
873f5bae5ffffff,31.074603278223126,29.842980634590553,33.0,6591.041801663616,0.0,0.4325811202111567,21.629056010557836,Low
873f5bae6ffffff,31.05750219531439,29.799191466863245,1.0,6261.529383298703,0.8648648648648649,0.41095466792195967,63.79097663934124,High
873f5baecffffff,31.05044433034694,29.882262223895488,-3.0,11157.69341190163,0.972972972972973,0.7322981192252167,85.26355460990949,High
873f5bb49ffffff,31.251860052076804,29.9603457192174,0.0,0.0,0.8918918918918919,0.0,44.5945945945946,Medium
873f5bb4bffffff,31.23244071528818,29.944206659848554,0.0,0.0,0.8918918918918919,0.0,44.5945945945946,Medium
873f5bb5bffffff,31.19596129190311,29.884222566312832,6.0,0.0,0.7297297297297297,0.0,36.486486486486484,Medium
